ID,goal,enddate,startdate,coinNum,teamSize,country_region,categories,overallrating,ratingTeam,ratingProduct,platform,acceptingCurrencyNum,whitepaper,video,socialMedia,GitHub,teamLinkedIn,teamPhotos,CEOPhoto
524,Y,15-03-2018,25-02-2018,66000000,13,British Virgin Islands,"Investment,Banking,Cryptocurrency,Platform",2.9,2.8,2.6,Ethereum,1,1,1,3,1,85%,92%,0
525,N,03-12-2017,03-10-2017,0,13,Singapore,Business services,2.6,0,0,Ethereum,1,1,0,2,0,100%,100%,0
526,Y,02-02-2018,18-01-2018,500000000,12,Singapore,"Platform,Software,Internet",3.6,4,3.6,Ethereum,1,1,1,3,1,100%,100%,0
527,Y,31-12-2017,06-12-2017,50000000,11,USA,"Platform,Business services,Investment,Cryptocurrency",2.9,3.3,2.5,Ethereum,1,1,1,0,1,36%,100%,0
528,N,25-12-2017,25-11-2017,50000000,25,UK,"Business services,Investment,Banking",2.5,0,0,Ethereum,1,1,0,0,0,0%,100%,0
529,Y,07-12-2017,07-11-2017,400000000,6,Seychelles,Platform,3.3,0,0,Ethereum,1,1,1,2,1,0%,100%,1
530,N,31-05-2018,15-02-2018,1000000000,10,United Arab Emirates,"Manufacturing,Energy,Infrastructure",3.6,3.8,3.6,Ethereum,1,1,1,0,0,100%,90%,1
531,Y,31-07-2017,02-06-2017,30000000,15,USA,Cryptocurrency,3.3,4,3.4,unknown,unknown,1,1,0,0,0%,100%,0
532,Y,20-11-2017,22-10-2017,30000000,9,Australia,"Platform,Cryptocurrency",3.9,3,4,Ethereum,1,1,1,1,1,100%,100%,0
533,N,31-01-2018,01-12-2017,50000000,8,Switzerland,"Business services,Software",2.1,0,0,Ethereum,1,1,0,0,0,88%,100%,1
534,N,30-04-2018,01-03-2018,35000000,7,UK,Infrastructure,2.3,0,0,Ethereum,4,1,0,0,1,86%,100%,0
535,N,11-03-2018,09-02-2018,200000000,7,Russia,"Cryptocurrency,Platform,Software,Health",3.2,2.4,2.4,Ethereum,1,1,1,2,1,0%,100%,0
536,Y,22-03-2018,21-02-2018,7600000,19,Estonia,"Communication,Business services,Big Data,Cryptocurrency,Education,Investment,Other,Platform,Smart Contract,Software",3.3,3.7,2.8,Ethereum,1,1,1,0,1,100%,100%,0
537,Y,15-02-2018,01-10-2017,78000000,5,USA,Business services,3.1,3.7,3,Ethereum,1,1,1,0,1,100%,100%,1
538,N,31-05-2018,02-04-2018,2800000,9,Ukraine,"Legal,Investment,Cryptocurrency,Platform",4.2,4.6,4.2,Ethereum,3,1,1,0,1,89%,100%,0
539,Y,20-03-2018,20-02-2018,2000000000,6,Canada,"Entertainment,Internet,Media",3,3,4,Ethereum,1,1,0,0,0,0%,100%,0
540,N,07-04-2018,21-02-2018,365000000,14,Switzerland,"Banking,Cryptocurrency,Internet,Investment,Platform,Smart Contract,Software",1.7,1.7,1.5,Ethereum,4,1,0,0,0,29%,100%,0
541,N,14-11-2017,01-11-2017,410000000,8,USA,Health,2.9,2,3.7,Ethereum,2,1,1,3,0,38%,100%,0
542,Y,24-01-2018,18-01-2018,204780000,15,Colombia,"Platform,Cryptocurrency",3.7,4,3.7,Ethereum,3,1,1,0,1,100%,100%,1
543,Y,01-04-2018,15-02-2018,71250000,9,Estonia,"Cryptocurrency,Platform,Business services,Software,Internet,Smart Contract",3.6,3.5,3.4,Ethereum,1,1,1,2,1,100%,100%,1
544,Y,08-10-2017,07-09-2017,30000000,8,UK,"Platform,Other,Art",3.1,0,0,Ethereum,1,1,0,3,0,100%,100%,1
545,Y,29-07-2017,28-06-2017,14700000,23,Costa Rica,Casino & Gambling,3.3,4,3.4,Ethereum,unknown,1,1,3,1,70%,100%,1
546,Y,03-09-2015,04-08-2015,100000000,8,Switzerland,Cryptocurrency,1.8,1,1,Counterparty,unknown,0,0,3,0,0%,100%,0
547,Y,28-02-2018,01-02-2018,50000000,8,British Virgin Islands,Banking,3.6,2.7,2.7,Ethereum,6,1,1,2,1,100%,100%,1
548,N,31-03-2018,01-02-2018,200000000,14,USA,Business services,2.8,4,4,Ethereum,1,1,0,0,1,86%,100%,0
549,N,21-04-2018,20-02-2018,720000,7,Isle of Man,Retail,2.5,0,0,Waves,5,1,1,0,0,100%,100%,0
550,Y,06-09-2017,27-07-2017,80000000,9,Israel,Energy,3.1,0,0,Ethereum,1,1,0,0,0,22%,100%,1
551,N,31-12-2017,03-12-2017,10000000,7,USA,"Other,Investment,Internet,Cryptocurrency,Business services,Retail",2.5,0,0,Stellar Consensus Protocol (SCP),1,1,0,0,1,86%,100%,1
552,N,10-04-2018,15-03-2018,8000000,16,USA,"Entertainment,Cryptocurrency,Platform",4,3.8,3.7,Ethereum,1,1,1,3,1,94%,100%,0
553,N,05-06-2018,01-12-2017,2310000,18,Serbia,Manufacturing,2.7,5,3,Ethereum,unknown,1,1,0,1,0%,100%,0
554,N,31-01-2018,28-11-2017,10000000,17,United Arab Emirates,"Business services,Cryptocurrency,Media",2.3,0,0,unknown,unknown,1,1,0,1,0%,100%,1
555,Y,04-05-2018,16-04-2018,500000000,18,USA,"Virtual Reality,Entertainment",4.5,4.8,4.4,Ethereum,2,1,1,2,0,94%,100%,0
556,N,28-02-2018,01-02-2018,141000000,9,Belgium,Real estate,2.4,3,2,Ethereum,1,1,1,0,0,0%,100%,0
557,N,18-12-2017,16-11-2017,75000000,21,Belarus,"Media,Platform,Software",2.6,0,0,Ethereum,2,1,1,0,0,0%,100%,0
558,N,25-03-2018,21-02-2018,12500000,6,UK,"Communication,Cryptocurrency,Internet,Software",1.4,0,0,Ethereum,1,1,0,0,0,0%,0%,0
559,N,31-03-2018,01-02-2018,0,4,South Africa,Cryptocurrency,1.2,1.2,1,Ethereum,3,1,0,0,0,0%,0%,0
560,Y,01-11-2017,07-09-2017,103548812,12,Russia,Real estate,4,4.3,3.9,Ethereum,1,1,1,0,1,33%,100%,0
561,Y,04-09-2017,21-08-2017,700000000,12,Russia,Platform,3.4,0,0,unknown,7,1,1,3,1,17%,100%,0
562,N,15-02-2018,01-01-2018,0,7,Singapore,Cryptocurrency,1.4,0,0,Ethereum,unknown,1,0,0,1,0%,100%,0
563,Y,18-08-2017,09-08-2017,550000000,13,USA,"Platform,Software",3.5,0,0,Ethereum,1,1,1,0,0,100%,100%,1
564,Y,19-12-2016,05-11-2016,25000000,4,Mexico,"Banking,Cryptocurrency",1.3,1,1,Waves,1,0,0,0,0,0%,100%,0
565,Y,07-06-2018,07-02-2018,10120000,20,UK,"Artificial Intelligence,Banking,Cryptocurrency,Platform,Smart Contract",4.1,4.3,3.9,Ethereum,4,1,1,2,1,75%,100%,1
566,Y,12-10-2017,12-09-2017,1872221,20,Estonia,"Cryptocurrency,Business services,Software",3.1,3.6,2.9,Ethereum,2,1,1,0,1,100%,100%,0
567,Y,28-02-2018,01-02-2018,500000000,23,USA,"Platform,Cryptocurrency,Business services",4.6,4.7,4.6,Ethereum,3,1,1,0,1,74%,96%,1
568,Y,31-03-2018,01-03-2018,300000000,18,Singapore,Software,4.5,4.9,4.7,Ethereum,3,0,1,0,0,100%,100%,0
569,Y,26-07-2017,29-06-2017,133333328,15,Singapore,Casino & Gambling,3.5,4.7,4.8,Ethereum,unknown,1,1,2,1,40%,100%,0
570,Y,08-01-2018,08-12-2017,64200000,17,Poland,"Software,Investment",3.7,3.9,3.4,Ethereum,1,1,1,2,0,82%,100%,0
571,N,30-11-2017,01-11-2017,500000000,4,China,Entertainment,2.3,0,0,Ethereum,1,1,0,0,1,0%,100%,0
572,Y,01-02-2018,16-01-2018,100000000,37,Switzerland,"Cryptocurrency,Charity",3.3,3.6,2.9,Ethereum,5,1,1,0,0,97%,100%,0
573,Y,31-03-2018,15-02-2018,350000000,11,Georgia,"Manufacturing,Cryptocurrency",2.5,3,3,Ethereum,1,1,0,0,0,100%,100%,1
574,N,07-05-2018,17-04-2018,0,13,Australia,Cryptocurrency,2.3,0,0,Ethereum,3,1,0,0,0,62%,100%,0
575,Y,30-03-2018,15-02-2018,408000000,12,South Africa,"Artificial Intelligence,Big Data,Internet",4.6,4.6,4.5,Ethereum,8,1,1,1,1,100%,100%,1
576,N,21-01-2018,21-01-2018,0,12,Indonesia,"Platform,Cryptocurrency",3.6,3.2,4,Ethereum,1,1,1,3,0,33%,100%,0
577,Y,01-06-2018,30-04-2018,15,4,UK,"Investment,Internet,Cryptocurrency,Business services,Banking,Platform,Smart Contract",2.4,1,2,Ethereum,1,1,1,0,0,75%,100%,0
578,N,30-05-2018,01-04-2018,15000000,12,Ireland,"Banking,Business services,Cryptocurrency,Infrastructure,Investment,Platform",3.5,0,0,Ethereum,4,1,1,2,0,0%,0%,0
579,Y,31-12-2017,20-11-2017,76000000,4,Netherlands,"Platform,Business services",3.9,4.8,3.9,Ethereum,1,1,1,3,1,100%,100%,1
580,Y,30-04-2018,01-03-2018,30000000,14,Switzerland,"Big Data,Infrastructure,Legal,Platform,Smart Contract,Virtual Reality",3.4,3.2,2.9,Ethereum,7,1,1,0,0,100%,100%,0
581,Y,18-02-2018,18-01-2018,200000000,18,USA,"Investment,Banking",2.4,3.6,2.7,unknown,unknown,1,1,0,0,89%,100%,0
582,N,23-05-2018,07-03-2018,825000000,14,UK,Investment,2.5,0,0,Ethereum,1,1,1,0,0,0%,100%,0
583,Y,30-06-2017,30-06-2017,46800000,16,Russia,"Business services,Internet",2.8,0,0,Ethereum,unknown,1,0,3,1,87%,100%,1
584,N,02-02-2018,27-11-2017,0,11,UK,"Real estate,Investment",1.6,2,2,Ethereum,unknown,0,1,0,0,0%,82%,0
585,Y,30-04-2018,12-03-2018,75000000,10,Czech Republic,"Investment,Cryptocurrency,Big Data,Artificial Intelligence,Platform,Software",3.6,3.7,3.2,Ethereum,1,1,1,3,0,100%,100%,1
586,N,01-05-2018,01-04-2018,700000000,11,Germany,"Artificial Intelligence,Health",2.6,0,0,Ethereum,3,1,1,0,0,18%,91%,0
587,N,31-03-2018,01-03-2018,12,46,Panama,Entertainment,2.5,2.5,2.5,NEM,6,1,1,0,1,73%,96%,0
588,Y,08-11-2017,06-11-2017,500000000,18,Singapore,"Platform,Cryptocurrency",4.1,4.8,4.3,Ethereum,1,1,1,0,0,50%,100%,0
589,N,31-05-2018,31-01-2018,36000000,8,Hungary,"Platform,Media,Communication,Business services,Software",3.6,3.6,3.9,Ethereum,3,1,1,1,1,100%,100%,0
590,Y,25-03-2018,25-02-2018,60000000,15,Malta,"Platform,Casino & Gambling,Entertainment,Cryptocurrency,Internet",3.5,3.8,3.2,Ethereum,1,1,1,0,1,93%,100%,0
