Goal,Offering_days,Coin_Num,Team_Size,Country_Region,Category_Num,Overall_Rating,Team_Rating,Product_Rating,Platform,Accepting_Currency_Num,Whitepaper,Video,Social_Media,GitHub,Team_LinkedIn,Team_Photos,CEO_Photo
0,32.0,5000000,8,USA,2,3.0,0.0,0.0,1.0,1.0,1,1,3,1,0.93,1.0,1
0,45.0,12000000,13,Australia,1,2.3,3.0,3.0,1.0,2.0,1,1,0,1,1.0,1.0,0
0,18.0,50000000,8,Liechtenstein,1,4.3,4.7,4.1,1.0,4.0,1,0,0,1,1.0,1.0,0
1,31.0,33000000,33,Switzerland,1,3.6,4.0,3.2,1.0,4.0,1,1,0,1,0.88,1.0,0
1,30.0,100000000,8,Malta,2,2.5,2.0,2.0,1.0,1.0,1,1,0,0,0.38,1.0,0
1,20.0,1200000,17,Slovenia,5,3.9,3.9,3.4,1.0,1.0,1,1,3,1,0.88,1.0,1
0,32.0,65000000,11,UK,2,3.2,4.4,3.8,1.0,1.0,1,1,0,1,0.0,1.0,0
1,0.0,200000000,17,UK,1,4.4,4.5,4.1,1.0,2.0,1,1,2,0,1.0,1.0,0
1,61.0,4750000000,23,Philippines,3,3.7,4.6,3.7,0.0,3.0,1,1,1,0,0.43,1.0,0
0,30.0,25,11,France,2,2.0,0.0,0.0,1.0,1.0,1,0,0,0,0.36,1.0,0
1,19.0,20000000,10,Singapore,3,3.4,4.1,3.2,1.0,1.0,1,1,0,1,1.0,1.0,0
1,18.0,21000000,4,Latvia,1,1.8,0.0,0.0,1.0,2.0,1,0,0,0,0.0,1.0,1
1,60.0,53760000,18,Seychelles,1,4.2,4.5,4.0,1.0,1.0,1,1,0,1,0.94,1.0,0
1,28.0,56000000,7,Switzerland,3,2.6,0.0,0.0,1.0,1.0,1,1,0,1,0.0,1.0,1
1,29.0,200000000,24,Singapore,2,2.9,0.0,0.0,1.0,1.0,1,1,3,0,0.97,1.0,1
0,31.0,0,4,Netherland,1,2.0,1.0,1.0,0.0,2.0,1,0,0,0,1.0,1.0,0
0,29.0,142000000,15,Russia,1,3.5,4.0,3.7,1.0,5.0,1,1,2,1,0.87,1.0,0
0,25.0,0,2,Netherland,6,2.0,2.0,2.0,1.0,2.0,1,0,0,0,1.0,0.0,0
1,51.0,12000000,16,Cyprus,4,3.0,0.0,0.0,1.0,1.0,1,1,0,0,0.0,1.0,0
0,71.0,49978560,12,Bulgaria,3,3.2,3.6,3.6,1.0,1.0,1,1,0,1,0.0,0.0,0
0,68.0,1400000000,4,Singapore,16,2.3,0.0,0.0,1.0,1.0,1,0,0,1,0.0,1.0,0
0,58.0,80000000,8,Croatia,1,2.4,0.0,0.0,1.0,1.0,1,1,0,0,0.88,1.0,0
0,61.0,9000000,4,USA,1,2.4,0.0,0.0,1.0,2.0,1,0,0,0,0.75,1.0,0
1,73.0,720000,4,Guinea-Bissau,4,2.3,0.0,0.0,1.0,1.0,1,0,3,0,1.0,1.0,1
0,117.0,49,7,UK,7,2.7,2.4,1.7,1.0,1.0,1,0,0,1,0.0,0.0,0
1,29.0,3141592653,9,Singapore,2,2.4,0.0,0.0,1.0,1.0,1,0,1,0,0.0,1.0,0
